ID;Công ty/Cơ quan/Đơn vị tuyển dụng;Tỉnh/Thành phố;Phạm vi (Nhà nước/DN trong nước/DN nước ngoài);Ngày đăng;Tháng đăng;Năm đăng;Số lượng tuyển dụng;Số lượng nữ (nếu có);Lĩnh vực tuyển dụng cấp 1 (CNTT/Du lịch/Điện, …);Tên công việc;Vị trí công việc (nếu có);Mức lương (nếu có);Trình độ;Yêu cầu kinh nghiệm/trình độ (năm);Link bài đăng để minh chứng
68;Công Ty Cổ Phần Thực Phẩm Và Nước Giải Khát Nam Việt;Bình Dương;DN trong nước;17;12;2024;20;0;Bán hàng - Kinh doanh;Nhân Viên Sale Admin (Nhận Việc Ngay);Chuyên viên- nhân viên;11000000 - 15000000;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-sale-admin-nhan-viec-ngay.html
69;Công Ty TNHH Leetray;TP.HCM;DN trong nước;19;12;2024;3;0;Y tế - Chăm sóc sức khỏe;Bác Sĩ Răng Hàm Mặt, Kinh Nghiệm 1 Năm (Quận Bình Thạnh);Chuyên gia;8000000 - 20000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/bac-si-rang-ham-mat-kinh-nghiem-1-nam-quan-binh-thanh.html
70;Công Ty Cổ Phần Tập Đoàn Masterise;N/A;DN trong nước;20;12;2024;20;0;Chăm sóc khách hàng;Nhân Viên Chăm Sóc Khách Hàng / Customer Service Executive Làm Việc Tại Hà Nội / Tp. Hồ Chí Minh;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang-customer-service-executive-lam-viec-tai-ha-noi-tp-ho-chi-minh.html
71;Công Ty TNHH Cheng Loong Bình Dương Paper;Bình Dương;DN trong nước;19;12;2024;10;0;Điện - Điện tử - Điện lạnh;Nhân Viên Bảo Trì Điện (Đi Làm Ngay);Chuyên viên- nhân viên;8000000 - 9500000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-bao-tri-dien-di-lam-ngay.html
72;Công Ty TNHH Cheng Loong Bình Dương Paper;Bình Dương;DN trong nước;19;12;2024;1;0;Thu mua - Kho Vận - Chuỗi cung ứng;Nhân Viên Thu Mua (Biết Tiếng Hoa);Chuyên viên- nhân viên;9500000 - 15000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-thu-mua-biet-tieng-hoa.html
73;Công Ty TNHH Cheng Loong Bình Dương Paper;Bình Dương;DN trong nước;19;12;2024;1;0;Marketing;Nhân Viên Kinh Doanh - Đi Làm Ngay;Chuyên viên- nhân viên;9500000 - 12000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-di-lam-ngay.html
74;Công Ty TNHH New Hope Vĩnh Long;Vĩnh Long;DN trong nước;19;12;2024;2;0;Hành chính - Thư ký;Chủ Quản Trợ Lý Kinh Doanh - Đi Làm Ngay;Chuyên viên- nhân viên;9500000 - 15000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chu-quan-tro-ly-kinh-doanh-di-lam-ngay.html
75;Công Ty Cổ Phần Abt Homes;Hà Nội;DN trong nước;18;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Thiết Kế Nội Ngoại Thất - Không Yêu Cầu Kinh Nghiệm;Chuyên viên- nhân viên;10000000 - 18000000;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-thiet-ke-noi-ngoai-that-khong-yeu-cau-kinh-nghiem.html
76;Công Ty Cổ Phần Abt Homes;Hà Nội;DN trong nước;18;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Thị Trường Nội Ngoại Thất - Không Yêu Cầu Kinh Nghiệm;Chuyên viên- nhân viên;6000000 - 25000000;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-thi-truong-noi-ngoai-that-khong-yeu-cau-kinh-nghiem.html
77;Công Ty Cổ Phần Thương Mại Và Dịch Vụ Hm Auto Việt Nam;Hà Nội;DN trong nước;19;12;2024;5;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Nhân Viên Kinh Doanh Xe Ô Tô - Showroom Omoda Jaecoo Cầu Giấy;Chuyên viên- nhân viên;6000000 - 25000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-xe-o-to-showroom-omoda-jaecoo-cau-giay.html
78;Công Ty Tnhh Dịch Vụ \u0026 Sự Kiện Ngọc Nam;Hà Nội;DN trong nước;20;11;2024;2;0;Thiết kế - Sáng tạo nghệ thuật;Nhân Viên Thiết Kế;Chuyên viên- nhân viên;20000000 - 30000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-thiet-ke.html
79;Công Ty TNHH Marketech;Hà Nội;DN trong nước;30;11;2024;3;0;Xây dựng;[Hà Nội] Kỹ Sư Xây Dựng - Điện;Chuyên viên- nhân viên;10000000 - 16000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ha-noi-ky-su-xay-dung-dien.html
80;Công Ty Cổ Phần Thực Phẩm Và Nước Giải Khát Nam Việt;TP.HCM;DN trong nước;18;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Quốc Tế (Tại Hồ Chí Minh);Chuyên viên- nhân viên;10000000 - 20000000;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-quoc-te-tai-ho-chi-minh.html
81;Công Ty TNHH TM DV Tân Hiệp Phát;N/A;DN trong nước;18;12;2024;5;0;Công nghệ thực phẩm - Dinh dưỡng;Nhân Viên QA/QC ( Quản Lý Chất Lượng ) - Upto 12 Triệu/ Tháng;Chuyên viên- nhân viên;8000000 - 20000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-qa-qc-quan-ly-chat-luong-upto-12-trieu-thang.html
82;Công Ty TNHH Toyota Lý Thường Kiệt;TP.HCM;DN trong nước;17;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Ô Tô Cũ - Không Yêu Cầu Kinh Nghiệm (Tp HCM);Chuyên viên- nhân viên;10000000 - 12000000;Chứng chỉ;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-o-to-cu-khong-yeu-cau-kinh-nghiem-tp-hcm.html
83;Hệ Thống Anh Ngữ Quốc Tế Ocean Edu - Công Ty Cổ Phần Giáo Dục Và Đào Tạo Thanh Hóa;N/A;DN trong nước;17;12;2024;30;0;Bán hàng - Kinh doanh;Chuyên Viên Tư Vấn Giáo Dục - Toàn Quốc - Lương Khởi Điểm Từ 13 Triệu / Tháng;Chuyên viên- nhân viên;4000000 - 50000000;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-tu-van-giao-duc-toan-quoc-luong-khoi-diem-tu-13-trieu-thang.html
84;Công ty CP đá Granite \u0026 Marble Tự Nhiên Thiên Sơn;Hà Nội;DN trong nước;19;11;2024;4;4;Kế toán;Nhân Viên Kế Toán Công Trình (Nam, Thu Nhập Từ 14 - 20 Triệu);Chuyên viên- nhân viên;13000000 - 15000000;Chứng chỉ;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan-cong-trinh-nam-thu-nhap-tu-14-20-trieu.html
85;Công Ty Cổ Phần Tập Đoàn Bia Rượu Nước Giải Khát Hưng Yên - Hà Nội;Hưng Yên;DN trong nước;16;12;2024;5;0;Vận hành - Bảo trì - Bảo dưỡng;Nhân Viên Cơ Khí_Kỹ Thuật Điện_ Không Yêu Cầu Kinh Nghiệm;Chuyên viên- nhân viên;14000000 - 20000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-co-khi-ky-thuat-dien-khong-yeu-cau-kinh-nghiem.html
86;Công Ty Cổ Phần Dịch Vụ Quản Lý Tài Sản Cát Tường;TP.HCM;DN trong nước;16;12;2024;5;0;Bán hàng - Kinh doanh;Trưởng Phòng Kinh Doanh Bất Động Sản;Quản lý cấp trung;8000000 - 12000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-phong-kinh-doanh-bat-dong-san.html
87;Công Ty Cổ Phần Tập Đoàn Thiên Khôi;TP.HCM;DN trong nước;12;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh - Không Yêu Cầu Kinh Nghiệm (Đi Làm Ngay);Chuyên viên- nhân viên;15000000 - 120000000;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-khong-yeu-cau-kinh-nghiem-di-lam-ngay.html
88;Công Ty TNHH Tiếp Thị Giải Trí Primagena \u0026 Cronus;TP.HCM;DN trong nước;11;12;2024;1;0;Marketing;Trợ Lý Marketing (Biết Tiếng Trung);Chuyên viên- nhân viên;18000000 - 20000000;Trung cấp;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tro-ly-marketing-biet-tieng-trung.html
89;Siêu Việt Group;TP.HCM;DN trong nước;10;12;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Phát Triển Thị Trường / Nhân Viên Kinh Doanh (Đi Làm Ngay);Chuyên viên- nhân viên;10000000 - 15000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-phat-trien-thi-truong-nhan-vien-kinh-doanh-di-lam-ngay.html
90;Công ty TNHH Chế biến thực phẩm Đông Đô;N/A;DN trong nước;16;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Thị Trường;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-thi-truong.html
91;Công Ty TNHH Gifu Kogyo Việt Nam;TP.HCM;DN trong nước;12;12;2024;3;0;Xây dựng;Kỹ Sư Bim / Cim;Chuyên viên- nhân viên;11000000 - 13000000;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-bim-cim.html
92;Công Ty TNHH NTPM (Việt Nam);Bình Dương;DN trong nước;4;12;2024;1;0;Hành chính - Thư ký;Nhân Viên Phát Triển Sản Phẩm;Chuyên viên- nhân viên;11000000 - 15000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-phat-trien-san-pham.html
93;Công Ty Cổ Phần Thời Trang Và Đầu Tư Đức Giang;Hà Nội;DN trong nước;15;11;2024;1;1;Bán hàng - Kinh doanh;Trưởng Nhóm Kinh Doanh Thời Trang (Lương Cứng 15 - 25 Triệu);Quản lý nhóm- giám sát;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-nhom-kinh-doanh-thoi-trang-luong-cung-15-25-trieu.html
94;Công Ty Cổ Phần Đầu Tư Và Thương Mại Tân Kỷ Nguyên;N/A;DN trong nước;11;12;2024;5;5;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Phụ Kiện Tủ Bếp, Nội Thất - Lương 8-15 Triệu + % Hoa Hồng;Chuyên viên- nhân viên;25000000 - 35000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-phu-kien-tu-bep-noi-that-luong-8-15-trieu-hoa-hong.html
95;Công ty Cổ Phần Phân Bón Quốc Tế;N/A;DN trong nước;12;12;2024;40;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh - Phát Triển Thị Trường;Chuyên viên- nhân viên;12000000 - 20000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-phat-trien-thi-truong.html
96;Công ty Cổ phần Good Day Hospitality - McDonald’s Việt Nam;TP.HCM;DN trong nước;16;12;2024;100;0;Khách sạn - Nhà hàng - Du lịch;Nhân Viên Phục Vụ Thời Vụ Tết - Mcdonald's Việt Nam Tại Khu Vực HCM;Chuyên viên- nhân viên;N/A;Đại học;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-phuc-vu-thoi-vu-tet-mcdonald-s-viet-nam-tai-khu-vuc-hcm.html
97;Công ty Tài Chính TNHH HD SAISON;TP.HCM;DN trong nước;12;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Telesales - HCM;Chuyên viên- nhân viên;N/A;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-telesales-hcm.html
98;Công Ty Tài Chính TNHH Ngân Hàng Việt Nam Thịnh Vượng SMBC;TP.HCM;DN trong nước;9;9;2024;10;0;Bán hàng - Kinh doanh;Chuyên Viên Tư Vấn Tài Chính Qua Điện Thoại Thu Nhập Đến 30Tr ;Chuyên viên- nhân viên;8000000 - 15000000;Trung học;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-tu-van-tai-chinh-qua-dien-thoai-thu-nhap-den-30tr.html
99;Công Ty TNHH Thực Phẩm Tư Nam;Hà Nội;DN trong nước;10;12;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Online - Đi Làm Ngay;Chuyên viên- nhân viên;10000000 - 30000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-online-di-lam-ngay.html
100;Công Ty TNHH Cibes Lift Việt Nam (Cibes Lift Vietnam Co., Ltd);TP.HCM;DN trong nước;14;12;2024;10;0;Điện - Điện tử - Điện lạnh;Nhân Viên Kỹ Thuật Thang Máy - TPHCM;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ky-thuat-thang-may-tphcm.html
101;KHÁCH HÀNG VIỆC LÀM 24H;Đồng Nai;DN trong nước;18;12;2024;2;0;Vận hành - Bảo trì - Bảo dưỡng;Nhân Viên Vận Hành Và Bảo Trì Dịch Vụ Tiện Ích (Đồng Nai);Chuyên viên- nhân viên;8000000 - 8500000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-van-hanh-va-bao-tri-dich-vu-tien-ich-dong-nai.html
102;Công Ty Cổ Phần Di Chuyển Xanh Và Thông Minh Gsm;Phú Yên;DN trong nước;11;12;2024;5;0;Vận Tải - Lái xe - Giao nhận;Phú Yên - Giám Sát Vận Hành;Quản lý nhóm- giám sát;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/phu-yen-giam-sat-van-hanh.html
103;Công Ty TNHH Xuất Nhập Khẩu Fy;TP.HCM;DN trong nước;17;12;2024;10;0;Chăm sóc khách hàng;Nhân Viên Chăm Sóc Khách Hàng Biết Tiếng Anh;Chuyên viên- nhân viên;15000000 - 25000000;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang-biet-tieng-anh.html
104;Công Ty Cổ Phần Du Lịch Và Thương Mại Dân Chủ;Hà Nội;DN trong nước;11;12;2024;2;0;Khách sạn - Nhà hàng - Du lịch;Nhân Viên Lái Xe (Thu Nhập 12-15 Triệu);Chuyên viên- nhân viên;15000000 - 20000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-lai-xe-thu-nhap-12-15-trieu.html
105;Công Ty Tài Chính TNHH Ngân Hàng Việt Nam Thịnh Vượng SMBC;TP.HCM;DN trong nước;19;12;2024;30;0;Bán hàng - Kinh doanh;[HCM] Nhân Viên Tư Vấn Tài Chính Qua Điện Thoại Thu Nhập Đến 20Tr;Chuyên viên- nhân viên;N/A;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/hcm-nhan-vien-tu-van-tai-chinh-qua-dien-thoai-thu-nhap-den-20tr.html
106;Công Ty Cổ Phần Hợp Tác Đầu Tư Giáo Dục Quốc Tế Tín Phát;Hà Nội;DN trong nước;19;12;2024;10;0;Bán hàng - Kinh doanh;[Trường Cao Đẳng Đại Việt] - Nhân Viên Tuyển Sinh_Thu Nhập Upto 15M;Chuyên viên- nhân viên;10000000 - 20000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-cao-dang-dai-viet-nhan-vien-tuyen-sinh-thu-nhap-upto-15m.html
107;Công Ty Cổ Phần Tô Thành Phát;TP.HCM;DN trong nước;27;11;2024;3;0;Kế toán;Nữ Nhân Viên Kế Toán - Bán Hàng;Chuyên viên- nhân viên;10000000 - 15000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nu-nhan-vien-ke-toan-ban-hang.html
108;Công Ty TNHH Tập Đoàn Family Shopping;TP.HCM;DN trong nước;9;12;2024;10;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Nhân Viên Tư Vấn Bán Hàng Và Chốt Đơn (Không Yêu Cầu Kinh Nghiệm) - Ra Tết Đi Làm;Chuyên viên- nhân viên;9000000 - 9500000;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-ban-hang-va-chot-don-khong-yeu-cau-kinh-nghiem-ra-tet-di-lam.html
109;Công Ty Cổ Phần Optima Robotics;TP.HCM;DN trong nước;17;12;2024;2;0;Kế toán;Kế Toán Tổng Hợp;Chuyên viên- nhân viên;7000000 - 25000000;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop.html
110;Công ty Tài Chính TNHH HD SAISON;TP.HCM;DN trong nước;12;12;2024;15;0;Tài chính - Đầu tư - Chứng Khoán;Tổng Đài Viên Nhắc Phí-HCM;Chuyên viên- nhân viên;N/A;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tong-dai-vien-nhac-phi-hcm.html
111;Ngân Hàng Thương Mại Cổ Phần Việt Nam Thịnh Vượng;TP.HCM;DN trong nước;10;12;2024;2;0;Bán hàng - Kinh doanh;Trưởng Nhóm Kinh Doanh - Team Lead Sale (Quận 1);Quản lý nhóm- giám sát;8000000 - 15000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-nhom-kinh-doanh-team-lead-sale-quan-1.html
112;Công Ty CP Tư Vấn Xây Dựng Năng Lượng Và Môi Trường Việt Nam;TP.HCM;DN trong nước;18;12;2024;5;0;Môi trường - Xử lý chất thải;Nhân Viên Tư Vấn Môi Trường Và Tiết Kiệm Năng Lượng;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-moi-truong-va-tiet-kiem-nang-luong.html
113;Công Ty Cổ Phần Công Nghệ Hdp Việt Nam;N/A;DN trong nước;20;12;2024;4;0;Bán hàng - Kinh doanh;Sales Engineer - Giải Pháp Chiếu Sáng Và Hệ Điều Khiển Chiếu Sáng Cho Công Nghiệp;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/sales-engineer-giai-phap-chieu-sang-va-he-dieu-khien-chieu-sang-cho-cong-nghiep.html
114;Honda Ô Tô Giải Phóng - Công Ty Cổ Phần Đầu Tư Thương Mại Nam Thái Bình;Hà Nội;DN trong nước;4;12;2024;1;0;Kế toán;Kế Toán Kho Tại Hà Nội;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-kho-tai-ha-noi.html
115;Ngân Hàng Thương Mại Cổ Phần Việt Nam Thịnh Vượng - Chi Nhánh Tp. Hồ Chí Minh;TP.HCM;DN trong nước;12;12;2024;10;0;Tài chính - Đầu tư - Chứng Khoán;Chuyên Viên Tư Vấn Tài Chính Cá Nhân - VPBank ;Chuyên viên- nhân viên;8000000 - 9000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-tu-van-tai-chinh-ca-nhan-vpbank.html
116;Công Ty TNHH Sheico Việt Nam;TP.HCM;DN trong nước;9;12;2024;2;0;Dệt may - Da giày - Thời trang;Nhân Viên Theo Dõi Đơn Hàng;Chuyên viên- nhân viên;12000000 - 80000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-theo-doi-don-hang.html
117;Công Ty Cổ Phần Dầu Khí Á Đông;N/A;DN trong nước;13;11;2024;20;20;Bán hàng - Kinh doanh;Giám Sát Bán Hàng Thu Nhập Trung Bình 30 Triệu / Tháng;Quản lý cấp cao;9000000 - 15000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-ban-hang-thu-nhap-trung-binh-30-trieu-thang.html
118;CÔNG TY TNHH VENESA;Hà Nội;DN trong nước;23;12;2024;15;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Đặt Lịch Hẹn Đi Làm Ngay;Chuyên viên- nhân viên;20000000 - 30000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-dat-lich-hen-di-lam-ngay.html
119;Công Ty Cổ Phần Di Chuyển Xanh Và Thông Minh Gsm;N/A;DN trong nước;11;12;2024;1;0;Bán hàng - Kinh doanh;Chuyên Viên Kinh Doanh;Chuyên viên- nhân viên;9000000 - 15000000;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-kinh-doanh.html
120;Công Ty TNHH Leetray;TP.HCM;DN trong nước;12;12;2024;1;0;Hành chính - Thư ký;Nữ Trợ Lý Giám Đốc, Kinh Nghiệm 3 Năm (Quận 10);Chuyên viên- nhân viên;12000000 - 17000000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nu-tro-ly-giam-doc-kinh-nghiem-3-nam-quan-10.html
121;Công Ty Cổ Phần TC Advisors;TP.HCM;DN trong nước;11;12;2024;2;2;Luật - Pháp Lý - Tuân thủ;Chuyên Viên Pháp Chế/ Hành Chính Văn Phòng;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-phap-che-hanh-chinh-van-phong.html
122;Công Ty TNHH TM DV Tân Hiệp Phát;N/A;DN trong nước;3;12;2024;20;0;Điện - Điện tử - Điện lạnh;Nhân Viên Vận Hành Máy, 10-12 Triệu (Đi Làm Ngay Hoặc Sau Tết);Chuyên viên- nhân viên;10000000 - 15000000;Chứng chỉ;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-van-hanh-may-10-12-trieu-di-lam-ngay-hoac-sau-tet.html
123;Công Ty Cổ Phần Trường Phương Việt Nam;Hà Nội;DN trong nước;12;12;2024;3;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh_Thu Nhập Upto 20 Triệu / Tháng;Chuyên viên- nhân viên;10000000 - 12000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-thu-nhap-upto-20-trieu-thang.html
124;Công Ty TNHH Đông Nam Việt Nam (Dong Nam Co., Ltd);TP.HCM;DN trong nước;19;12;2024;2;0;Thu mua - Kho Vận - Chuỗi cung ứng;Nhân Viên Theo Dõi Đơn Hàng (Merchandiser);Chuyên viên- nhân viên;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-theo-doi-don-hang-merchandiser.html
125;Công Ty TNHH Atz Home \u0026 Skin;TP.HCM;DN trong nước;11;12;2024;3;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Bán Hàng Tại Showroom;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-ban-hang-tai-showroom.html
126;Công Ty CP Hóa Chất Xây Dựng Bách Khoa;Đồng Nai;DN trong nước;18;12;2024;2;2;Xây dựng;Cán Bộ QC - Làm Việc Tại Đồng Nai;Quản lý nhóm- giám sát;7000000 - 10000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/can-bo-qc-lam-viec-tai-dong-nai.html
127;Công Ty TNHH Cheng Loong Bình Dương Paper;Bình Dương;DN trong nước;16;12;2024;5;5;Điện - Điện tử - Điện lạnh;Nhân Viên Kỹ Thuật Nhiệt Điện - Đi Làm Ngay;Chuyên viên- nhân viên;15000000 - 17000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ky-thuat-nhiet-dien-di-lam-ngay.html
128;Công Ty CP Đầu Tư Kinh Doanh Bất Động Sản Thắng Lợi Tây Nguyên (Thuộc Thắng Lợi Group);N/A;DN trong nước;26;11;2024;10;0;Bán hàng - Kinh doanh;Trưởng Phòng Kinh Doanh  - Đi Làm Ngay;Quản lý cấp trung;9500000 - 15000000;Đại học;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-phong-kinh-doanh-di-lam-ngay.html
129;Công Ty CP Cầu Đường 10;N/A;DN trong nước;1;10;2024;5;0;Xây dựng;Kỹ Sư Xây Dựng Công Trình (Chưa Có Kinh Nghiệm Sẽ Được Đào Tạo);Chuyên viên- nhân viên;30000000 - 100000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-xay-dung-cong-trinh-chua-co-kinh-nghiem-se-duoc-dao-tao.html
130;Công Ty Cổ Phần Di Chuyển Xanh Và Thông Minh Gsm;Quảng Ngãi;DN trong nước;14;12;2024;2;0;Vận Tải - Lái xe - Giao nhận;Quảng Ngãi - Giám Sát Vận Hành;Quản lý nhóm- giám sát;12000000 - 25000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/quang-ngai-giam-sat-van-hanh.html
131;Công Ty Tnhh Năng Lượng Hải Thịnh Phát;TP.HCM;DN trong nước;10;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Máy Lọc Nước - Lương Trên 10 Triệu;Chuyên viên- nhân viên;12000000 - 17000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-may-loc-nuoc-luong-tren-10-trieu.html
132;Công Ty Cổ Phần Themax;TP.HCM;DN trong nước;18;12;2024;5;5;Khách sạn - Nhà hàng - Du lịch;Phụ Bếp Làm Việc Tại Đức - Không Yêu Cầu Biết Tiếng Đức;Chuyên viên- nhân viên;8000000 - 20000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/phu-bep-lam-viec-tai-duc-khong-yeu-cau-biet-tieng-duc.html
